year,LA_2023,age_group_code,age_group,frequent_volunteer_rate,borough_name
8,112,8,75-84,0.0933306994127133,Hammersmith and Fulham
8,112,9,85+,0.0,Hammersmith and Fulham
8,114,2,16-24,0.2948982486889035,Haringey
8,114,3,25-34,0.1028483577200946,Haringey
8,114,4,35-44,0.2136147467942589,Haringey
8,114,5,45-54,0.1780346218589068,Haringey
8,114,6,55-64,0.0694691139045843,Haringey
8,114,7,65-74,0.0457667051904853,Haringey
8,114,8,75-84,0.1682705246338149,Haringey
8,114,9,85+,0.0,Haringey
8,117,2,16-24,0.4203709770680243,Harrow
8,117,3,25-34,0.1543324705532756,Harrow
8,117,4,35-44,0.2185199229122329,Harrow
8,117,5,45-54,0.1084854084311771,Harrow
8,117,6,55-64,0.1430798972872334,Harrow
8,117,7,65-74,0.1122886513018232,Harrow
8,117,8,75-84,0.0779386456522035,Harrow
8,117,9,85+,0.0,Harrow
8,122,2,16-24,0.3088608067401731,Havering
8,122,3,25-34,0.1442301087459172,Havering
8,122,4,35-44,0.0791386868878573,Havering
8,122,5,45-54,0.1158792440070687,Havering
8,122,6,55-64,0.0569546562253774,Havering
8,122,7,65-74,0.0706687377129613,Havering
8,122,8,75-84,0.0,Havering
8,122,9,85+,0.0597454556181791,Havering
8,126,2,16-24,0.2083077469092099,Hillingdon
8,126,3,25-34,0.1289908975060883,Hillingdon
8,126,4,35-44,0.1890814068594321,Hillingdon
8,126,5,45-54,0.0832523963953507,Hillingdon
8,126,6,55-64,0.0329659353536502,Hillingdon
8,126,7,65-74,0.0446104376346828,Hillingdon
8,126,8,75-84,0.1290739177744028,Hillingdon
8,126,9,85+,0.0,Hillingdon
8,129,2,16-24,0.2038231836162495,Hounslow
8,129,3,25-34,0.3626871920377716,Hounslow
8,129,4,35-44,0.1693291010444767,Hounslow
8,129,5,45-54,0.2107794356419741,Hounslow
8,129,6,55-64,0.1583262841767176,Hounslow
8,129,7,65-74,0.0453793739367163,Hounslow
8,129,8,75-84,0.0446931913421307,Hounslow
8,129,9,85+,0.0,Hounslow
8,135,2,16-24,0.2465278382607494,Islington
8,135,3,25-34,0.101955094353257,Islington
8,135,4,35-44,0.0281520798809513,Islington
8,135,5,45-54,0.1799828139945925,Islington
8,135,6,55-64,0.0243647187736236,Islington
8,135,7,65-74,0.0514010004029078,Islington
8,135,8,75-84,0.0,Islington
8,135,9,85+,0.0,Islington
8,136,2,16-24,0.2175922027539195,Kensington and Chelsea
8,136,3,25-34,0.0824747054000288,Kensington and Chelsea
8,136,4,35-44,0.0630906365390111,Kensington and Chelsea
8,136,5,45-54,0.1685184718437112,Kensington and Chelsea
8,136,6,55-64,0.159178130394973,Kensington and Chelsea
8,136,7,65-74,0.1216733013386517,Kensington and Chelsea
8,136,8,75-84,0.1458657405865573,Kensington and Chelsea
8,136,9,85+,0.0,Kensington and Chelsea
8,139,2,16-24,0.1534383211287253,Kingston upon Thames
8,139,3,25-34,0.04508984807017,Kingston upon Thames
8,139,4,35-44,0.1097617771672394,Kingston upon Thames
8,139,5,45-54,0.2060378424376823,Kingston upon Thames
8,139,6,55-64,0.1327867803940149,Kingston upon Thames
8,139,7,65-74,0.2070629046159895,Kingston upon Thames
8,139,8,75-84,0.0289270261100099,Kingston upon Thames
8,139,9,85+,0.0,Kingston upon Thames
8,142,2,16-24,0.1179773923898176,Lambeth
8,142,3,25-34,0.0944592262749701,Lambeth
8,142,4,35-44,0.1163002998769874,Lambeth
8,142,5,45-54,0.099083836734993,Lambeth
8,142,6,55-64,0.0173559166149571,Lambeth
8,142,7,65-74,0.1411451587789903,Lambeth
8,142,8,75-84,0.1104523680973588,Lambeth
8,142,9,85+,0.0,Lambeth
8,147,2,16-24,0.196398297399681,Lewisham
8,147,3,25-34,0.0993770353495688,Lewisham
8,147,4,35-44,0.1112160838467972,Lewisham
8,147,5,45-54,0.0742297569563128,Lewisham
8,147,6,55-64,0.1531209759135563,Lewisham
8,147,7,65-74,0.189779234514427,Lewisham
8,147,8,75-84,0.0,Lewisham
8,147,9,85+,0.0,Lewisham
8,160,2,16-24,0.0916932925465047,Merton
8,160,3,25-34,0.0969066096579196,Merton
8,160,4,35-44,0.1120261529828093,Merton
8,160,5,45-54,0.1807579552473695,Merton
8,160,6,55-64,0.191995511675405,Merton
8,160,7,65-74,0.1412572610227118,Merton
8,160,8,75-84,0.2536783312980147,Merton
8,160,9,85+,0.0,Merton
8,171,2,16-24,0.1246471577536642,Newham
8,171,3,25-34,0.131947085239157,Newham
8,171,4,35-44,0.1348130539703271,Newham
8,171,5,45-54,0.1209898796757911,Newham
8,171,6,55-64,0.131849246369915,Newham
8,171,7,65-74,0.1688574634382696,Newham
8,171,8,75-84,0.2390540445425562,Newham
8,171,9,85+,0.0,Newham
8,196,2,16-24,0.2534289737115014,Redbridge
8,196,3,25-34,0.1287583780717256,Redbridge
8,196,4,35-44,0.1345358820138205,Redbridge
8,196,5,45-54,0.0634309159499543,Redbridge
8,196,6,55-64,0.1335591128580651,Redbridge
8,196,7,65-74,0.1256069508551165,Redbridge
8,196,8,75-84,0.0,Redbridge
8,196,9,85+,0.0,Redbridge
8,201,2,16-24,0.0795047643908059,Richmond upon Thames
8,201,3,25-34,0.1716714996357737,Richmond upon Thames
8,201,4,35-44,0.0722774722963231,Richmond upon Thames
8,201,5,45-54,0.2574666429442293,Richmond upon Thames
8,201,6,55-64,0.2103700230167736,Richmond upon Thames
8,201,7,65-74,0.1972325953097849,Richmond upon Thames
8,201,8,75-84,0.0885446603927944,Richmond upon Thames
8,201,9,85+,0.7818935248331759,Richmond upon Thames
8,241,2,16-24,0.0678208213580317,Southwark
8,241,3,25-34,0.058794743636458,Southwark
8,241,4,35-44,0.0988392386795421,Southwark
8,241,5,45-54,0.2269102052722818,Southwark
8,241,6,55-64,0.240593405099986,Southwark
8,241,7,65-74,0.1377936830547056,Southwark
8,241,8,75-84,0.1162083472473376,Southwark
8,241,9,85+,0.0,Southwark
8,255,2,16-24,0.10154156428364,Sutton
8,255,3,25-34,0.1653902954434869,Sutton
8,255,4,35-44,0.0400467641552663,Sutton
8,255,5,45-54,0.1729712370386921,Sutton
8,255,6,55-64,0.0784551299863328,Sutton
8,255,7,65-74,0.1526496728991635,Sutton
8,255,8,75-84,0.156207659709548,Sutton
8,255,9,85+,0.0,Sutton
8,272,2,16-24,0.0800107671240446,Tower Hamlets
8,272,3,25-34,0.108482865604089,Tower Hamlets
8,272,4,35-44,0.1605400522145847,Tower Hamlets
8,272,5,45-54,0.1180466658637206,Tower Hamlets
8,272,6,55-64,0.102922918114901,Tower Hamlets
8,272,7,65-74,0.1043646259817551,Tower Hamlets
8,272,8,75-84,0.0,Tower Hamlets
8,272,9,85+,0.0,Tower Hamlets
8,279,2,16-24,0.1177890234741966,Waltham Forest
8,279,3,25-34,0.098155003333648,Waltham Forest
8,279,4,35-44,0.0596788601176883,Waltham Forest
8,279,5,45-54,0.2231357785425123,Waltham Forest
8,279,6,55-64,0.0821393232373831,Waltham Forest
8,279,7,65-74,0.117766199343256,Waltham Forest
8,279,8,75-84,0.2455551595848398,Waltham Forest
8,279,9,85+,0.0,Waltham Forest
8,280,2,16-24,0.2175199221667134,Wandsworth
8,280,3,25-34,0.1785339472504633,Wandsworth
8,280,4,35-44,0.1382975799349419,Wandsworth
8,280,5,45-54,0.1736348527952486,Wandsworth
8,280,6,55-64,0.1195770285800361,Wandsworth
8,280,7,65-74,0.1180429834185273,Wandsworth
8,280,8,75-84,0.0,Wandsworth
8,293,2,16-24,0.0365913804747428,Westminster
8,293,3,25-34,0.053495384684282,Westminster
8,293,4,35-44,0.0848082016959178,Westminster
8,293,5,45-54,0.0425853298342185,Westminster
8,293,6,55-64,0.0,Westminster
8,293,7,65-74,0.1629366382871322,Westminster
8,293,8,75-84,0.0748730696240282,Westminster
8,293,9,85+,0.2982452615080974,Westminster
